DEMUC,CHUDECON,STT,CAUHOI,CAUTRALOI
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0214,Tại sao cần khám răng định kỳ ở bệnh nhân ĐTĐ có hôi miệng?,"Để phát hiện và điều trị sớm bệnh nha chu, sâu răng, nhiễm nấm miệng."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0215,Uống nước đều đặn có tác dụng gì với hôi miệng?,"Giữ khoang miệng ẩm, hỗ trợ rửa trôi vi khuẩn và mảnh vụn thức ăn."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0216,Nhai kẹo cao su không đường có tác dụng gì?,"Kích thích tiết nước bọt, tăng khả năng tự làm sạch và trung hòa acid."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0217,Khi nào hôi miệng cần điều trị kết hợp nội khoa?,"Khi nguyên nhân là toàn thân như ĐTĐ kiểm soát kém hoặc bệnh dạ dày, hô hấp."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0218,Bác sĩ RHM nên phối hợp với chuyên khoa nào khi điều trị hôi miệng ở bệnh nhân ĐTĐ?,"Nội tiết để kiểm soát đường huyết, và có thể phối hợp Tai Mũi Họng hoặc Tiêu hóa nếu nghi ngờ nguyên nhân ngoài miệng."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0219,Các xét nghiệm nào hỗ trợ chẩn đoán nguyên nhân hôi miệng?,"Đo lưu lượng nước bọt, xét nghiệm nấm, chụp X-quang răng, test halimeter đo hợp chất lưu huỳnh."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0220,Hôi miệng ở bệnh nhân ĐTĐ có thể liên quan đến chế độ ăn không?,"Có, chế độ ăn nhiều đường và tinh bột tinh chế làm tăng nguy cơ mảng bám và vi khuẩn sinh mùi."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0221,Khô miệng do thuốc có thể góp phần gây hôi miệng không?,"Có, đặc biệt thuốc hạ áp, lợi tiểu, thuốc chống trầm cảm."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0222,Phòng ngừa hôi miệng ở bệnh nhân ĐTĐ gồm những biện pháp gì?,"Kiểm soát đường huyết, duy trì vệ sinh răng miệng, uống đủ nước, điều trị sớm bệnh nha chu và sâu răng."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0223,Hôi miệng tái phát nhiều lần ở bệnh nhân ĐTĐ có ý nghĩa gì?,Có thể là dấu hiệu của bệnh nha chu mạn tính hoặc đường huyết chưa kiểm soát tốt.
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0224,Điều trị hôi miệng ở bệnh nhân ĐTĐ có khác với người bình thường không?,"Cần kết hợp kiểm soát bệnh toàn thân, tăng tần suất tái khám và chú ý các biến chứng nha chu."
BỆNH LÝ RĂNG MIỆNG,Hôi miệng & các vấn đề về mô mềm trong miệng.,Q0225,Vai trò của bác sĩ RHM trong xử trí hôi miệng ở bệnh nhân ĐTĐ là gì?,"Xác định nguyên nhân, điều trị bệnh răng miệng, hướng dẫn phòng ngừa và phối hợp liên chuyên khoa."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0226,Viêm nha chu ở người không mắc ĐTĐ có liên quan đến tăng đường huyết không?,"Có. Nhiều nghiên cứu dịch tễ và lâm sàng cho thấy người bị viêm nha chu, dù chưa được chẩn đoán ĐTĐ, thường có mức đường huyết đói và HbA1c cao hơn người có nướu khỏe mạnh."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0227,Mối liên hệ này được đánh giá qua những chỉ số nào?,"Chủ yếu dựa vào đường huyết lúc đói và HbA1c – chỉ số phản ánh mức đường huyết trung bình 2–3 tháng, cho phép đánh giá mối liên quan giữa tình trạng nha chu và kiểm soát đường huyết."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0228,Vì sao viêm nha chu có thể làm tăng đường huyết?,"Viêm nha chu là tình trạng viêm mạn tính, làm tăng sản xuất cytokine tiền viêm (như TNF-α, IL-6) gây kháng insulin, giảm khả năng đưa glucose vào tế bào, dẫn đến tăng glucose máu."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0229,Người có nướu khỏe mạnh thường có mức đường huyết thế nào?,"Nhìn chung, họ có mức đường huyết đói và HbA1c thấp hơn, vì mô nha chu khỏe mạnh không tạo phản ứng viêm toàn thân mạnh như ở người viêm nha chu."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0230,Viêm nha chu ảnh hưởng thế nào đến nguy cơ rối loạn dung nạp glucose?,"Tình trạng viêm toàn thân kéo dài có thể làm giảm độ nhạy insulin, dẫn tới rối loạn dung nạp glucose, tiền ĐTĐ và tăng nguy cơ mắc ĐTĐ type 2."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0231,"Ở người chưa mắc ĐTĐ, viêm nha chu có thể là dấu hiệu cảnh báo gì?","Có thể là chỉ báo sớm của rối loạn chuyển hóa đường hoặc kháng insulin, đặc biệt khi kết hợp với các yếu tố nguy cơ khác như béo phì, ít vận động."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0232,HbA1c là gì và liên quan thế nào tới viêm nha chu?,"HbA1c là hemoglobin gắn glucose, phản ánh mức đường huyết trung bình trong 8–12 tuần. Viêm nha chu làm tăng HbA1c ngay cả ở người không mắc ĐTĐ do viêm mạn ảnh hưởng chuyển hóa glucose."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0233,Viêm nha chu ảnh hưởng đến đường huyết đói như thế nào?,"Viêm làm tăng kháng insulin và giảm khả năng tế bào sử dụng glucose, khiến đường huyết đói cao hơn bình thường."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0234,Điều trị viêm nha chu có thể giúp cải thiện đường huyết không?,"Có. Nghiên cứu can thiệp cho thấy điều trị nha chu làm giảm viêm hệ thống, cải thiện độ nhạy insulin và giảm HbA1c ở cả bệnh nhân ĐTĐ và người không mắc ĐTĐ."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0235,Yếu tố viêm nào trong nha chu liên quan đến tăng đường huyết?,"Các cytokine tiền viêm (TNF-α, IL-1β, IL-6), CRP và các chất trung gian viêm khác làm rối loạn cân bằng insulin–glucose."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0236,Mối liên hệ viêm nha chu – tăng đường huyết là một chiều hay hai chiều?,"Là mối liên hệ hai chiều: viêm nha chu làm tăng đường huyết, và tăng đường huyết (dù chưa tới ngưỡng ĐTĐ) làm nặng tiến triển viêm nha chu."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0237,Người bị viêm nha chu nặng nhưng chưa mắc ĐTĐ có cần tầm soát đường huyết không?,"Nên tầm soát. Bệnh nhân viêm nha chu mạn tính nặng có nguy cơ cao rối loạn glucose máu, đặc biệt nếu kèm các yếu tố nguy cơ chuyển hóa."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0238,Việc kiểm soát mảng bám ảnh hưởng thế nào đến đường huyết?,"Giảm mảng bám giúp giảm phản ứng viêm tại nha chu, từ đó giảm tình trạng viêm toàn thân và cải thiện chuyển hóa glucose."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0239,Có nghiên cứu nào chứng minh mối liên hệ này không?,"Nhiều nghiên cứu quốc tế và meta-analysis chứng minh rằng điều trị nha chu làm giảm HbA1c từ 0,3–0,6% kể cả ở người không mắc ĐTĐ."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0240,Mối liên hệ này có ý nghĩa gì trong nha khoa dự phòng?,"Cho thấy nha chu không chỉ liên quan sức khỏe răng miệng mà còn là yếu tố nguy cơ bệnh chuyển hóa, nên nha sĩ cần tham gia sàng lọc sức khỏe toàn thân."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0241,Viêm nha chu mạn tính có thể góp phần vào hội chứng chuyển hóa không?,"Có. Viêm nha chu là nguồn viêm mạn tính góp phần vào kháng insulin, béo bụng, rối loạn lipid máu – các thành phần của hội chứng chuyển hóa."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0242,Người trẻ bị viêm nha chu có nguy cơ tăng đường huyết không?,"Có, đặc biệt nếu có lối sống kém lành mạnh hoặc yếu tố nguy cơ di truyền; viêm nha chu có thể là dấu hiệu cảnh báo sớm."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0243,Các yếu tố nguy cơ chung giữa viêm nha chu và tăng đường huyết là gì?,"Hút thuốc, chế độ ăn nhiều đường, béo phì, ít vận động, căng thẳng mạn tính."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0244,Điều trị nha chu nên phối hợp với chuyên khoa nào để tối ưu kiểm soát đường huyết?,"Nội tiết hoặc bác sĩ gia đình để đánh giá, theo dõi và can thiệp khi cần thiết."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0245,Đường huyết cao có thể làm giảm hiệu quả điều trị nha chu ở người chưa mắc ĐTĐ không?,Có. Đường huyết cao làm giảm lành thương mô nha chu và tăng nguy cơ tái phát viêm.
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0246,Viêm nha chu có thể được coi là yếu tố nguy cơ độc lập cho tăng đường huyết không?,"Có, nhiều nghiên cứu loại trừ yếu tố gây nhiễu vẫn cho thấy mối liên hệ độc lập."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0247,"Trong khám định kỳ, bác sĩ RHM nên làm gì để phát hiện sớm nguy cơ tăng đường huyết?","Đánh giá tình trạng nha chu, hỏi về tiền sử gia đình ĐTĐ, cân nặng, khuyên xét nghiệm HbA1c nếu có viêm nha chu mạn tính."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0248,Có nên đưa kiểm soát nha chu vào chiến lược phòng ngừa ĐTĐ không?,Nên. Kiểm soát nha chu tốt giúp giảm phản ứng viêm toàn thân và cải thiện chuyển hóa glucose.
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0249,Tư vấn cho bệnh nhân viêm nha chu về nguy cơ tăng đường huyết nên gồm những gì?,"Giải thích mối liên hệ, khuyến khích thay đổi lối sống, khám sức khỏe định kỳ và duy trì vệ sinh răng miệng."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0250,Vai trò của bác sĩ RHM trong mối liên hệ này là gì?,"Chẩn đoán, điều trị viêm nha chu, giáo dục bệnh nhân về nguy cơ chuyển hóa, và phối hợp liên chuyên khoa để phòng ngừa ĐTĐ."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0251,Viêm nha chu và ĐTĐ type 2 có mối liên hệ như thế nào?,"Đây là mối liên hệ hai chiều đã được chứng minh: kiểm soát đường huyết kém ở bệnh nhân ĐTĐ type 2 làm tăng nguy cơ viêm nha chu nặng và tiến triển nhanh, trong khi viêm nha chu mạn tính lại góp phần làm khó kiểm soát đường huyết do tăng tình trạng viêm toàn thân và kháng insulin."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0252,Đường huyết cao ảnh hưởng thế nào tới mô nha chu?,"Đường huyết cao kéo dài gây biến đổi vi mạch, giảm tưới máu mô, suy giảm chức năng bạch cầu đa nhân trung tính, tăng tích tụ các sản phẩm glycat hóa bền vững (AGEs) trong mô, dẫn đến phản ứng viêm mạnh hơn và phá hủy mô nha chu nhanh hơn."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0253,Vì sao bệnh nhân ĐTĐ type 2 không kiểm soát đường huyết dễ mất răng hơn?,"Khi đường huyết cao, viêm nha chu tiến triển nhanh, tiêu xương ổ răng lan rộng, mô quanh răng lành thương kém, dẫn đến mất bám dính và cuối cùng là mất răng sớm hơn so với người kiểm soát đường huyết tốt."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0254,Viêm nha chu ảnh hưởng đến kiểm soát đường huyết như thế nào?,"Viêm nha chu là ổ viêm mạn tính, giải phóng các cytokine tiền viêm như TNF-α, IL-1β, IL-6 vào tuần hoàn, làm tăng kháng insulin ở mô ngoại vi, gây khó khăn trong duy trì HbA1c ở mức mục tiêu, ngay cả khi bệnh nhân tuân thủ thuốc hạ đường huyết."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0255,Có bằng chứng khoa học nào cho thấy điều trị nha chu giúp cải thiện HbA1c?,"Có. Nhiều nghiên cứu can thiệp và phân tích gộp cho thấy điều trị nha chu không phẫu thuật có thể giúp giảm HbA1c trung bình từ 0,3–0,6% sau 3–6 tháng, tác động tương tự như việc thêm một thuốc hạ đường huyết thứ hai."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0256,Bệnh nhân viêm nha chu thường có chỉ số HbA1c như thế nào?,"Những người mắc viêm nha chu mạn tính thường có HbA1c cao hơn, phản ánh sự kiểm soát đường huyết kém hơn so với nhóm không viêm nha chu, ngay cả khi các yếu tố khác như chế độ ăn và thuốc được giữ tương tự."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0257,Vì sao viêm nha chu mạn tính làm giảm độ nhạy insulin?,"Do tình trạng viêm toàn thân kéo dài làm tăng nồng độ các chất trung gian viêm, gốc tự do và AGEs, ảnh hưởng tới thụ thể insulin và ức chế tín hiệu nội bào của insulin, dẫn đến kháng insulin."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0258,Viêm nha chu có thể làm tăng nguy cơ mắc ĐTĐ type 2 ở người chưa mắc bệnh không?,"Có. Viêm nha chu kéo dài gây viêm mạn tính và kháng insulin, làm tăng nguy cơ khởi phát ĐTĐ type 2, đặc biệt ở người có yếu tố nguy cơ khác như béo phì, ít vận động."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0259,"Ngược lại, kiểm soát đường huyết tốt giúp gì cho sức khỏe nha chu?","Giữ đường huyết trong giới hạn mục tiêu giúp giảm viêm nướu, làm chậm tiêu xương, tăng khả năng lành thương sau điều trị nha chu, và cải thiện tiên lượng bảo tồn răng."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0260,"Ở bệnh nhân ĐTĐ type 2, viêm nha chu thường tiến triển như thế nào?","Bệnh tiến triển nhanh, mức tiêu xương ổ răng lớn hơn, túi nha chu sâu hơn, đáp ứng điều trị kém hơn và nguy cơ tái phát cao hơn so với người không mắc ĐTĐ hoặc có kiểm soát đường huyết tốt."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0261,Các dấu hiệu viêm nha chu ở bệnh nhân ĐTĐ type 2 kiểm soát đường huyết kém là gì?,"Nướu sưng đỏ, chảy máu tự nhiên hoặc khi thăm khám, tụt nướu nhanh, lộ chân răng, hình thành áp xe nha chu, tiêu xương lan rộng và răng trở nên lung lay."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0262,Yếu tố nào làm nặng thêm mối liên hệ viêm nha chu – ĐTĐ type 2?,"Hút thuốc lá, béo phì, chế độ ăn nhiều đường, vệ sinh răng miệng kém, thời gian mắc ĐTĐ dài, và có biến chứng vi mạch như bệnh thận hoặc bệnh võng mạc."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0263,Điều trị nha chu ở bệnh nhân ĐTĐ type 2 cần lưu ý gì?,"Đảm bảo đường huyết dưới ngưỡng an toàn trước thủ thuật, phối hợp chặt chẽ với bác sĩ nội tiết, lựa chọn phương pháp ít xâm lấn khi cần, và theo dõi sát quá trình lành thương."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0264,Mối liên hệ hai chiều này có ý nghĩa gì trong dự phòng biến chứng ĐTĐ?,"Điều trị và kiểm soát viêm nha chu giúp giảm gánh nặng viêm toàn thân, từ đó hỗ trợ kiểm soát đường huyết và gián tiếp giảm nguy cơ biến chứng mạch máu lớn và nhỏ ở bệnh nhân ĐTĐ type 2."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0265,Bệnh nhân ĐTĐ type 2 cần khám nha khoa với tần suất như thế nào?,"Nên khám răng miệng ít nhất 2–4 lần/năm, kết hợp lấy cao răng định kỳ, đánh giá túi nha chu, và can thiệp kịp thời khi có dấu hiệu viêm."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0266,Vì sao tiêu xương nha chu ở bệnh nhân ĐTĐ type 2 nặng hơn?,"Tăng đường huyết làm tích tụ AGEs, tăng sản xuất metalloproteinase (MMPs) phá hủy collagen, đồng thời suy yếu tái tạo mô nha chu, dẫn đến tiêu xương nhanh hơn."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0267,HbA1c bao nhiêu được coi là kiểm soát đường huyết tốt cho điều trị nha chu?,"Thường <7% theo khuyến cáo chung, nhưng cần cá nhân hóa tùy bệnh nhân; giá trị càng gần mức mục tiêu, khả năng lành thương và hiệu quả điều trị càng cao."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0268,Điều trị nha chu có thể giảm nguy cơ biến chứng toàn thân ở bệnh nhân ĐTĐ type 2 không?,"Có. Giảm viêm mạn tính nhờ điều trị nha chu góp phần cải thiện chuyển hóa glucose, lipid và huyết áp, từ đó giảm nguy cơ biến chứng tim mạch, thận, và mắt."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0269,Tại sao viêm nha chu làm khó kiểm soát đường huyết dù bệnh nhân tuân thủ thuốc?,"Vì thuốc chỉ kiểm soát đường huyết tạm thời, trong khi nguồn viêm mạn tính từ nha chu tiếp tục kích thích kháng insulin, gây dao động đường huyết và tăng HbA1c."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0270,Phòng ngừa viêm nha chu ở bệnh nhân ĐTĐ type 2 gồm những biện pháp gì?,"Kiểm soát đường huyết chặt chẽ, duy trì vệ sinh răng miệng tốt, chế độ ăn lành mạnh, khám nha khoa định kỳ và xử trí sớm các ổ nhiễm răng miệng."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0271,Có nên xét nghiệm HbA1c cho bệnh nhân viêm nha chu nặng không?,"Có, vì viêm nha chu nặng có thể là dấu hiệu ĐTĐ chưa được chẩn đoán hoặc cho thấy bệnh nhân ĐTĐ đang kiểm soát đường huyết chưa tốt."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0272,Viêm nha chu ở bệnh nhân ĐTĐ type 2 ảnh hưởng thế nào đến chất lượng cuộc sống?,"Gây đau, mất răng, hạn chế khả năng ăn nhai, khó khăn trong giao tiếp, tăng chi phí điều trị và ảnh hưởng sức khỏe toàn thân."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0273,Vai trò của nha sĩ trong quản lý bệnh nhân ĐTĐ type 2 là gì?,"Đánh giá, điều trị và dự phòng viêm nha chu; tư vấn chăm sóc răng miệng; phối hợp với bác sĩ nội tiết để quản lý toàn diện sức khỏe bệnh nhân."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0274,Tại sao cần giáo dục bệnh nhân ĐTĐ type 2 về mối liên hệ với viêm nha chu?,Giúp bệnh nhân nhận thức rằng chăm sóc răng miệng tốt không chỉ bảo vệ răng mà còn hỗ trợ kiểm soát đường huyết và giảm nguy cơ biến chứng ĐTĐ.
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0275,Kết luận lâm sàng quan trọng nhất về mối liên hệ này là gì?,Viêm nha chu và ĐTĐ type 2 tác động lẫn nhau theo cơ chế hai chiều. Quản lý nha chu hiệu quả là một phần thiết yếu trong chiến lược kiểm soát đường huyết và dự phòng biến chứng toàn thân.
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0276,Viêm nha chu có thường gặp ở bệnh nhân đái tháo đường type 1 không?,"Có. Nhiều nghiên cứu cho thấy bệnh nhân ĐTĐ type 1 có tỷ lệ viêm nha chu cao hơn rõ rệt so với người không mắc bệnh, đặc biệt ở những người kiểm soát đường huyết kém. Đường huyết cao kéo dài làm tăng phản ứng viêm và giảm khả năng đề kháng của mô nha chu, khiến bệnh tiến triển nhanh hơn."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0277,Vì sao ĐTĐ type 1 lại làm tăng nguy cơ viêm nha chu?,"ĐTĐ type 1 gây suy giảm chức năng bạch cầu, rối loạn vi tuần hoàn và tăng phản ứng viêm. Các yếu tố này kết hợp làm mô nâng đỡ răng dễ bị tổn thương hơn trước tác động của vi khuẩn mảng bám, dẫn đến viêm nha chu nặng hơn và khó điều trị hơn."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0278,Kiểm soát đường huyết kém ảnh hưởng thế nào đến mô nha chu ở bệnh nhân ĐTĐ type 1?,"Khi đường huyết duy trì ở mức cao, cơ thể tăng sản xuất các sản phẩm glycat hóa (AGEs) gây rối loạn chuyển hóa collagen và mô nha chu, làm tiêu xương nhanh hơn, tụt nướu sâu hơn và tăng nguy cơ mất răng sớm."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0279,Viêm nha chu có làm tăng đường huyết ở bệnh nhân ĐTĐ type 1 không?,"Có. Tình trạng viêm mạn tính giải phóng các cytokine tiền viêm như IL-6, TNF-α vào máu, làm giảm nhạy cảm insulin và khiến mức HbA1c tăng. Điều này khiến việc kiểm soát đường huyết khó khăn hơn, ngay cả khi bệnh nhân tuân thủ điều trị nội tiết."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0280,Tình trạng viêm nha chu ảnh hưởng ra sao đến nhu cầu insulin?,"Viêm nha chu có thể gây kháng insulin thứ phát, nghĩa là insulin hoạt động kém hiệu quả hơn, buộc bệnh nhân phải tăng liều để duy trì đường huyết ổn định. Nếu viêm nha chu được điều trị tốt, nhu cầu insulin có thể giảm trở lại."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0281,Bệnh nhân ĐTĐ type 1 bị viêm nha chu có nguy cơ mất răng cao hơn không?,"Có. Kết hợp giữa đường huyết cao và phản ứng viêm mạnh khiến mô nâng đỡ răng bị phá hủy nhanh chóng, làm tăng tỷ lệ mất răng sớm, ngay cả ở người trẻ tuổi mắc ĐTĐ type 1."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0282,Điều trị viêm nha chu có giúp cải thiện đường huyết không?,"Có. Nghiên cứu cho thấy sau khi điều trị nha chu toàn diện, mức HbA1c ở bệnh nhân ĐTĐ type 1 có thể giảm 0,3–0,4%. Điều này cho thấy tác động tích cực của kiểm soát viêm nha chu đối với chuyển hóa glucose."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0283,Cơ chế nào khiến viêm nha chu làm tăng HbA1c?,"Viêm nha chu gây phản ứng viêm toàn thân, kích hoạt hệ miễn dịch và giải phóng các chất trung gian viêm vào máu. Các cytokine này làm giảm độ nhạy insulin tại mô cơ và gan, gây tăng đường huyết và tăng HbA1c."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0284,Bệnh nhân ĐTĐ type 1 cần khám nha khoa bao lâu một lần?,"Khuyến nghị nên khám nha khoa định kỳ 3–4 tháng/lần, thay vì 6 tháng/lần như người khỏe mạnh, để phát hiện sớm và điều trị kịp thời viêm nha chu, ngăn ngừa biến chứng."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0285,Viêm nha chu ảnh hưởng thế nào đến biến chứng toàn thân của ĐTĐ type 1?,"Viêm nha chu làm tăng tình trạng viêm toàn thân, góp phần thúc đẩy biến chứng mạch máu lớn (tim mạch, đột quỵ) và biến chứng vi mạch (thận, mắt) ở bệnh nhân ĐTĐ type 1, khiến bệnh nặng hơn."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0286,Có mối liên hệ hai chiều giữa ĐTĐ type 1 và viêm nha chu không?,"Có. ĐTĐ type 1 làm tăng nguy cơ mắc và mức độ nặng của viêm nha chu, trong khi viêm nha chu lại làm tăng HbA1c và gây khó khăn trong kiểm soát đường huyết. Đây là mối quan hệ qua lại, tạo vòng xoắn bệnh lý."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0287,ĐTĐ type 1 khởi phát sớm ảnh hưởng gì đến sức khỏe nha chu lâu dài?,"Người bệnh khởi phát ĐTĐ type 1 từ nhỏ phải sống chung với bệnh lâu dài, nên mô nha chu chịu tác động của đường huyết cao và viêm mạn tính trong nhiều năm, làm tăng nguy cơ mất răng sớm và ảnh hưởng chức năng ăn nhai."
MỐI LIÊN HỆ HAI CHIỀU,Bệnh răng miệng ảnh hưởng đến ĐTĐ,Q0288,Chỉ số HbA1c có liên quan đến mức độ nặng của viêm nha chu không?,"Có. HbA1c càng cao, mức độ phá hủy mô nha chu càng nghiêm trọng. Nghiên cứu cho thấy bệnh nhân có HbA1c >8% thường có túi nha chu sâu hơn và tiêu xương nhiều hơn."
